name,website,wine_menu_url,status,city
The Best Rooftop Bars and Restaurants in Austin,,,No website listed,Austin
Otopia,,,No website listed,Austin
Sway,https://swaythai.com/,,No wines found,Austin
Upstairs at Caroline,http://www.carolinerestaurant.com/,https://www.carolinerestaurant.com/caroline,Wine found inside menu page,Austin
Paperboy,http://www.paperboyaustin.com/,http://www.paperboyaustin.com/s/Paperboy_Menu_22725_V2.pdf,Wine PDF link,Austin
Group Therapy,http://hotelzaza.com/Austin/dining/group-therapy,https://www.hotelzaza.com/austin/dining/group-therapy/main-menu,Wine found inside menu page,Austin
Arriba Abajo,https://www.arribaabajoatx.com/,https://www.arribaabajoatx.com/menus/,Wine found inside menu page,Austin
Azul Rooftop Bar at the Westin,https://www.azulrooftopatx.com/,,No wines found,Austin
El Cockfight,https://www.instagram.com/elcockfight/,,No wines found,Austin
La Piscina Ceviches & Fajitas,https://www.properhotel.com/austin/restaurants-bars/la-piscina/,https://www.properhotel.com/austin/happenings/?topic=eat_and_drink,Wine link found,Austin
Edge Rooftop,https://www.edgerooftop.com/,https://www.edgerooftop.com/cocktail-lounge-austin/drinks,Wine found inside menu page,Austin
Nido,https://www.thelorenhotels.com/cuisine/restaurant#nido,https://cdn.prod.website-files.com/62e3e4071daebd5eb541ef89/67ddcdff3c026ea316c1486b_Nido%20Drinks%20Menu.pdf,Wine PDF link,Austin
IYKYK,https://inncahoots.com/,https://inncahoots.com/specialty-groups/private-dining,Wine link found,Austin
Zanzibar,https://www.zanzibaratx.com/,https://www.zanzibaratx.com/menus,Wine found inside menu page,Austin
P6,https://www.thelinehotel.com/austin/restaurants-bars/p6/,https://www.thelinehotel.com/los-angeles/restaurants-bars/,Wine found inside menu page,Austin
Rules & Regs,https://www.fairmont-austin.com/dine/rules-regs/,https://www.fairmont-austin.com/?page_id=3609,Wine found inside menu page,Austin
El Alma,http://www.elalmacafe.com/,,No wines found,Austin
Easy Tiger,https://www.easytigerusa.com/pages/south-lamar,https://www.easytigerusa.com/event/march-madness-5-happy-hour-3/,Wine found inside menu page,Austin
Related Maps,,,No website listed,Austin
The 38 Best Restaurants in Boston,,,No website listed,Boston
Spoke Wine Bar,http://www.spokewinebar.com/,https://order.toasttab.com/online/spokewinebar,Wine link found,Boston
Sugidama,http://www.sugidamasoba.com/,,No wines found,Boston
Sarma,https://www.sarmarestaurant.com/,https://www.sarmarestaurant.com/#dinner-menu,Wine found inside menu page,Boston
La Brasa,https://www.labrasasomerville.com/,,No wines found,Boston
La Royal,http://www.laroyalcambridge.com/,http://www.laroyalcambridge.com/menu,Wine found inside menu page,Boston
Moëca,http://moecarestaurant.com,http://moecarestaurant.com/wine,Wine link found,Boston
Barra,http://barraunionsquare.com/,,No wines found,Boston
Celeste,https://celesteunionsquare.com/,,No wines found,Boston
Taquería Jalisco,https://www.facebook.com/Taqueria-Jalisco-116253278461293/,,Error fetching homepage: HTTP Error 400: Bad Request,Boston
Lehrhaus,https://www.lehr.haus/,,No wines found,Boston
Moona,http://www.moonarestaurant.com/,,No wines found,Boston
Puritan & Company,http://www.puritancambridge.com/,http://www.puritancambridge.com/s/Current-PCo-Menu-2025-04-04.pdf,Wine found inside menu page,Boston
Wusong Road,https://www.wusongroad.com/,https://www.wusongroad.com/menu,Wine found inside menu page,Boston
Cicada,http://www.instagram.com/cicadacoffeebar/,,No wines found,Boston
Sumiao Hunan Kitchen,http://www.sumiaohunan.com/,https://www.bostonglobe.com/lifestyle/names/2018/10/28/amazon-jeff-bezos-has-dinner-kendall-square/oKFdo8Krcomkjylj5bzRVN/story.html,Wine link found,Boston
Si Cara,https://www.sicarapizza.com,https://www.sicarapizza.com/cambridge-central-square-si-cara-food-menu,Wine found inside menu page,Boston
Neptune Oyster,http://www.neptuneoyster.com/,http://www.neptuneoyster.com/sea-wines-1,Wine link found,Boston
Taiwan Cafe,https://ordertaiwancafe.com/,,No wines found,Boston
Yume Ga Arukara,https://www.yumegaarukara.com/locations,,No wines found,Boston
Mooncusser,http://www.mooncusserboston.com/,http://www.mooncusserboston.com/menu/,Wine found inside menu page,Boston
Grill 23 & Bar,,,No website listed,Boston
Row 34,http://row34.com/,,No wines found,Boston
Krasi,https://krasiboston.com/,https://krasiboston.com/wine-menu,Wine link found,Boston
Fox & the Knife,http://www.foxandtheknife.com/,http://www.foxandtheknife.com/menus,Wine found inside menu page,Boston
Kava Neo-Taverna,http://www.kavaneotaverna.com/,,No wines found,Boston
SRV,http://www.srvboston.com/,http://www.srvboston.com/menu.htm,Wine found inside menu page,Boston
Toro,http://www.toro-restaurant.com/,http://www.toro-restaurant.com/menus,Wine found inside menu page,Boston
Blossom Bar,https://www.blossombarbrookline.com/,https://www.blossombarbrookline.com/cocktailsbeerwine,Wine link found,Boston
Mahaniyom,http://www.mahaniyomboston.com/,https://www.bostonglobe.com/2022/11/02/lifestyle/five-stars-mahaniyom-giving-us-thai-food-we-deserve/,Wine link found,Boston
Thistle & Leek,http://www.thistleandleek.com/,,No wines found,Boston
Suya Joint,https://suyajoint.com/,,Error fetching homepage: HTTP Error 403: Forbidden,Boston
Blue Nile,http://bluenileboston.com,http://bluenileboston.com/drink,Wine found inside menu page,Boston
Merengue Restaurant,http://www.merenguerestaurant.com/,http://merenguerestaurant.com/menu-2/,Wine found inside menu page,Boston
Comfort Kitchen,https://www.comfortkitchenbos.com/,https://www.comfortkitchenbos.com/menu,Wine found inside menu page,Boston
Singh's Roti Shop,http://www.singhsrotishop.net/,,No wines found,Boston
Banh Mi Ba Le,http://balebanhmiboston.com/,,No wines found,Boston
Tonino,http://www.toninojp.com/,,No wines found,Boston
Rubato,https://www.rubato-food.com/,,No wines found,Boston
Related Maps,,,No website listed,Boston
